SSID: Error 404_EXT
Datetime: Sun Jul 20 05:32:11 AM EDT 2025
64 bytes from 192.0.0.88: icmp_seq=75 ttl=64 time=70.2 ms
64 bytes from 192.0.0.88: icmp_seq=76 ttl=64 time=45.6 ms
64 bytes from 192.0.0.88: icmp_seq=77 ttl=64 time=66.8 ms
64 bytes from 192.0.0.88: icmp_seq=78 ttl=64 time=36.8 ms
64 bytes from 192.0.0.88: icmp_seq=79 ttl=64 time=123 ms
64 bytes from 192.0.0.88: icmp_seq=80 ttl=64 time=28.8 ms
64 bytes from 192.0.0.88: icmp_seq=81 ttl=64 time=52.1 ms
64 bytes from 192.0.0.88: icmp_seq=82 ttl=64 time=70.8 ms
64 bytes from 192.0.0.88: icmp_seq=83 ttl=64 time=66.2 ms
64 bytes from 192.0.0.88: icmp_seq=84 ttl=64 time=100 ms
64 bytes from 192.0.0.88: icmp_seq=85 ttl=64 time=29.6 ms
64 bytes from 192.0.0.88: icmp_seq=86 ttl=64 time=70.9 ms
64 bytes from 192.0.0.88: icmp_seq=87 ttl=64 time=21.5 ms
64 bytes from 192.0.0.88: icmp_seq=88 ttl=64 time=119 ms
64 bytes from 192.0.0.88: icmp_seq=89 ttl=64 time=31.2 ms
64 bytes from 192.0.0.88: icmp_seq=90 ttl=64 time=30.6 ms
64 bytes from 192.0.0.88: icmp_seq=91 ttl=64 time=27.1 ms
64 bytes from 192.0.0.88: icmp_seq=94 ttl=64 time=80.9 ms
64 bytes from 192.0.0.88: icmp_seq=95 ttl=64 time=73.4 ms
64 bytes from 192.0.0.88: icmp_seq=96 ttl=64 time=62.6 ms
64 bytes from 192.0.0.88: icmp_seq=97 ttl=64 time=141 ms
64 bytes from 192.0.0.88: icmp_seq=98 ttl=64 time=104 ms
64 bytes from 192.0.0.88: icmp_seq=99 ttl=64 time=35.9 ms
64 bytes from 192.0.0.88: icmp_seq=100 ttl=64 time=145 ms

--- google.com ping statistics ---
100 packets transmitted, 96 received, 4% packet loss, time 99137ms
rtt min/avg/max/mdev = 11.526/55.077/165.063/33.244 ms
