SSID: Error 404_EXT
Datetime: Tue Jul 15 05:30:16 AM EDT 2025
64 bytes from 192.0.0.88: icmp_seq=85 ttl=64 time=165 ms
64 bytes from 192.0.0.88: icmp_seq=86 ttl=64 time=180 ms
64 bytes from 192.0.0.88: icmp_seq=87 ttl=64 time=156 ms
64 bytes from 192.0.0.88: icmp_seq=88 ttl=64 time=34.5 ms
64 bytes from 192.0.0.88: icmp_seq=89 ttl=64 time=171 ms
64 bytes from 192.0.0.88: icmp_seq=90 ttl=64 time=176 ms
64 bytes from 192.0.0.88: icmp_seq=91 ttl=64 time=180 ms
64 bytes from 192.0.0.88: icmp_seq=92 ttl=64 time=197 ms
64 bytes from 192.0.0.88: icmp_seq=93 ttl=64 time=190 ms
64 bytes from 192.0.0.88: icmp_seq=94 ttl=64 time=202 ms
64 bytes from 192.0.0.88: icmp_seq=95 ttl=64 time=167 ms
64 bytes from 192.0.0.88: icmp_seq=96 ttl=64 time=207 ms
64 bytes from 192.0.0.88: icmp_seq=97 ttl=64 time=208 ms
64 bytes from 192.0.0.88: icmp_seq=98 ttl=64 time=183 ms
64 bytes from 192.0.0.88: icmp_seq=99 ttl=64 time=189 ms
64 bytes from 192.0.0.88: icmp_seq=100 ttl=64 time=192 ms

--- google.com ping statistics ---
100 packets transmitted, 96 received, 4% packet loss, time 99184ms
rtt min/avg/max/mdev = 34.501/190.424/422.793/51.059 ms
