SSID: Error 404
Datetime: Mon May 11 09:49:38 PM EDT 2026
64 bytes from 192.0.0.88: icmp_seq=43 ttl=64 time=78.8 ms
64 bytes from 192.0.0.88: icmp_seq=44 ttl=64 time=110 ms
64 bytes from 192.0.0.88: icmp_seq=45 ttl=64 time=71.0 ms
64 bytes from 192.0.0.88: icmp_seq=46 ttl=64 time=74.9 ms
64 bytes from 192.0.0.88: icmp_seq=47 ttl=64 time=69.8 ms
64 bytes from 192.0.0.88: icmp_seq=48 ttl=64 time=74.7 ms
64 bytes from 192.0.0.88: icmp_seq=49 ttl=64 time=235 ms
64 bytes from 192.0.0.88: icmp_seq=50 ttl=64 time=378 ms
64 bytes from 192.0.0.88: icmp_seq=51 ttl=64 time=73.8 ms
64 bytes from 192.0.0.88: icmp_seq=52 ttl=64 time=32.8 ms
64 bytes from 192.0.0.88: icmp_seq=53 ttl=64 time=69.5 ms
64 bytes from 192.0.0.88: icmp_seq=54 ttl=64 time=66.9 ms
64 bytes from 192.0.0.88: icmp_seq=55 ttl=64 time=73.1 ms
64 bytes from 192.0.0.88: icmp_seq=56 ttl=64 time=65.9 ms
64 bytes from 192.0.0.88: icmp_seq=57 ttl=64 time=75.4 ms
64 bytes from 192.0.0.88: icmp_seq=58 ttl=64 time=72.9 ms
64 bytes from 192.0.0.88: icmp_seq=59 ttl=64 time=69.9 ms
64 bytes from 192.0.0.88: icmp_seq=60 ttl=64 time=65.5 ms
64 bytes from 192.0.0.88: icmp_seq=61 ttl=64 time=64.9 ms
64 bytes from 192.0.0.88: icmp_seq=62 ttl=64 time=59.9 ms
64 bytes from 192.0.0.88: icmp_seq=63 ttl=64 time=71.3 ms
64 bytes from 192.0.0.88: icmp_seq=64 ttl=64 time=57.0 ms
64 bytes from 192.0.0.88: icmp_seq=65 ttl=64 time=73.0 ms
64 bytes from 192.0.0.88: icmp_seq=66 ttl=64 time=66.0 ms
64 bytes from 192.0.0.88: icmp_seq=67 ttl=64 time=62.9 ms
64 bytes from 192.0.0.88: icmp_seq=68 ttl=64 time=72.0 ms
64 bytes from 192.0.0.88: icmp_seq=69 ttl=64 time=72.2 ms
64 bytes from 192.0.0.88: icmp_seq=70 ttl=64 time=66.9 ms
64 bytes from 192.0.0.88: icmp_seq=71 ttl=64 time=69.8 ms
64 bytes from 192.0.0.88: icmp_seq=72 ttl=64 time=74.7 ms
64 bytes from 192.0.0.88: icmp_seq=73 ttl=64 time=60.0 ms
64 bytes from 192.0.0.88: icmp_seq=74 ttl=64 time=65.8 ms
64 bytes from 192.0.0.88: icmp_seq=75 ttl=64 time=62.9 ms
64 bytes from 192.0.0.88: icmp_seq=76 ttl=64 time=72.8 ms
64 bytes from 192.0.0.88: icmp_seq=77 ttl=64 time=71.9 ms
64 bytes from 192.0.0.88: icmp_seq=78 ttl=64 time=73.3 ms
64 bytes from 192.0.0.88: icmp_seq=79 ttl=64 time=74.6 ms
64 bytes from 192.0.0.88: icmp_seq=80 ttl=64 time=65.2 ms
64 bytes from 192.0.0.88: icmp_seq=81 ttl=64 time=70.6 ms
64 bytes from 192.0.0.88: icmp_seq=82 ttl=64 time=164 ms
64 bytes from 192.0.0.88: icmp_seq=83 ttl=64 time=231 ms
64 bytes from 192.0.0.88: icmp_seq=84 ttl=64 time=164 ms
64 bytes from 192.0.0.88: icmp_seq=85 ttl=64 time=76.5 ms
64 bytes from 192.0.0.88: icmp_seq=86 ttl=64 time=72.5 ms
64 bytes from 192.0.0.88: icmp_seq=87 ttl=64 time=70.3 ms
64 bytes from 192.0.0.88: icmp_seq=88 ttl=64 time=71.5 ms
64 bytes from 192.0.0.88: icmp_seq=89 ttl=64 time=69.9 ms
64 bytes from 192.0.0.88: icmp_seq=90 ttl=64 time=66.2 ms
64 bytes from 192.0.0.88: icmp_seq=91 ttl=64 time=68.9 ms
64 bytes from 192.0.0.88: icmp_seq=92 ttl=64 time=70.9 ms
64 bytes from 192.0.0.88: icmp_seq=93 ttl=64 time=48.7 ms
64 bytes from 192.0.0.88: icmp_seq=94 ttl=64 time=69.4 ms
64 bytes from 192.0.0.88: icmp_seq=95 ttl=64 time=66.7 ms
64 bytes from 192.0.0.88: icmp_seq=96 ttl=64 time=77.4 ms
64 bytes from 192.0.0.88: icmp_seq=97 ttl=64 time=69.4 ms
64 bytes from 192.0.0.88: icmp_seq=98 ttl=64 time=66.8 ms
64 bytes from 192.0.0.88: icmp_seq=99 ttl=64 time=69.9 ms
64 bytes from 192.0.0.88: icmp_seq=100 ttl=64 time=67.9 ms

--- google.com ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99015ms
rtt min/avg/max/mdev = 32.765/82.174/378.320/42.936 ms
