SSID: Error 404_EXT
Datetime: Thu Sep 11 05:36:06 AM EDT 2025
64 bytes from 192.0.0.88: icmp_seq=74 ttl=64 time=41.3 ms
64 bytes from 192.0.0.88: icmp_seq=75 ttl=64 time=33.6 ms
64 bytes from 192.0.0.88: icmp_seq=76 ttl=64 time=36.6 ms
64 bytes from 192.0.0.88: icmp_seq=77 ttl=64 time=50.3 ms
64 bytes from 192.0.0.88: icmp_seq=78 ttl=64 time=69.2 ms
64 bytes from 192.0.0.88: icmp_seq=79 ttl=64 time=74.3 ms
64 bytes from 192.0.0.88: icmp_seq=80 ttl=64 time=51.8 ms
64 bytes from 192.0.0.88: icmp_seq=81 ttl=64 time=43.9 ms
64 bytes from 192.0.0.88: icmp_seq=82 ttl=64 time=46.6 ms
64 bytes from 192.0.0.88: icmp_seq=83 ttl=64 time=30.4 ms
64 bytes from 192.0.0.88: icmp_seq=84 ttl=64 time=29.8 ms
64 bytes from 192.0.0.88: icmp_seq=85 ttl=64 time=44.7 ms
64 bytes from 192.0.0.88: icmp_seq=86 ttl=64 time=78.4 ms
64 bytes from 192.0.0.88: icmp_seq=87 ttl=64 time=35.4 ms
64 bytes from 192.0.0.88: icmp_seq=88 ttl=64 time=67.0 ms
64 bytes from 192.0.0.88: icmp_seq=89 ttl=64 time=36.9 ms
64 bytes from 192.0.0.88: icmp_seq=90 ttl=64 time=49.5 ms
64 bytes from 192.0.0.88: icmp_seq=91 ttl=64 time=98.8 ms
64 bytes from 192.0.0.88: icmp_seq=92 ttl=64 time=51.5 ms
64 bytes from 192.0.0.88: icmp_seq=93 ttl=64 time=55.7 ms
64 bytes from 192.0.0.88: icmp_seq=94 ttl=64 time=45.0 ms
64 bytes from 192.0.0.88: icmp_seq=95 ttl=64 time=62.8 ms
64 bytes from 192.0.0.88: icmp_seq=96 ttl=64 time=45.1 ms
64 bytes from 192.0.0.88: icmp_seq=97 ttl=64 time=46.1 ms
64 bytes from 192.0.0.88: icmp_seq=98 ttl=64 time=41.1 ms
64 bytes from 192.0.0.88: icmp_seq=99 ttl=64 time=34.2 ms
64 bytes from 192.0.0.88: icmp_seq=100 ttl=64 time=42.1 ms

--- google.com ping statistics ---
100 packets transmitted, 94 received, 6% packet loss, time 99290ms
rtt min/avg/max/mdev = 26.916/54.495/137.519/18.945 ms
