SSID: Error 404+
Datetime: Mon May 11 09:51:39 PM EDT 2026
64 bytes from 192.0.0.88: icmp_seq=56 ttl=64 time=76.1 ms
64 bytes from 192.0.0.88: icmp_seq=57 ttl=64 time=74.0 ms
64 bytes from 192.0.0.88: icmp_seq=58 ttl=64 time=73.7 ms
64 bytes from 192.0.0.88: icmp_seq=59 ttl=64 time=74.6 ms
64 bytes from 192.0.0.88: icmp_seq=60 ttl=64 time=74.6 ms
64 bytes from 192.0.0.88: icmp_seq=61 ttl=64 time=64.1 ms
64 bytes from 192.0.0.88: icmp_seq=62 ttl=64 time=78.7 ms
64 bytes from 192.0.0.88: icmp_seq=63 ttl=64 time=77.4 ms
64 bytes from 192.0.0.88: icmp_seq=64 ttl=64 time=81.7 ms
64 bytes from 192.0.0.88: icmp_seq=65 ttl=64 time=68.7 ms
64 bytes from 192.0.0.88: icmp_seq=66 ttl=64 time=77.5 ms
64 bytes from 192.0.0.88: icmp_seq=67 ttl=64 time=75.7 ms
64 bytes from 192.0.0.88: icmp_seq=68 ttl=64 time=72.9 ms
64 bytes from 192.0.0.88: icmp_seq=69 ttl=64 time=67.6 ms
64 bytes from 192.0.0.88: icmp_seq=70 ttl=64 time=49.4 ms
64 bytes from 192.0.0.88: icmp_seq=71 ttl=64 time=71.3 ms
64 bytes from 192.0.0.88: icmp_seq=72 ttl=64 time=73.5 ms
64 bytes from 192.0.0.88: icmp_seq=73 ttl=64 time=76.5 ms
64 bytes from 192.0.0.88: icmp_seq=74 ttl=64 time=74.7 ms
64 bytes from 192.0.0.88: icmp_seq=75 ttl=64 time=39.3 ms
64 bytes from 192.0.0.88: icmp_seq=76 ttl=64 time=74.4 ms
64 bytes from 192.0.0.88: icmp_seq=77 ttl=64 time=68.8 ms
64 bytes from 192.0.0.88: icmp_seq=78 ttl=64 time=76.8 ms
64 bytes from 192.0.0.88: icmp_seq=79 ttl=64 time=72.8 ms
64 bytes from 192.0.0.88: icmp_seq=80 ttl=64 time=72.0 ms
64 bytes from 192.0.0.88: icmp_seq=81 ttl=64 time=73.6 ms
64 bytes from 192.0.0.88: icmp_seq=82 ttl=64 time=62.0 ms
64 bytes from 192.0.0.88: icmp_seq=83 ttl=64 time=76.0 ms
64 bytes from 192.0.0.88: icmp_seq=84 ttl=64 time=73.3 ms
64 bytes from 192.0.0.88: icmp_seq=85 ttl=64 time=71.2 ms
64 bytes from 192.0.0.88: icmp_seq=86 ttl=64 time=71.1 ms
64 bytes from 192.0.0.88: icmp_seq=87 ttl=64 time=76.9 ms
64 bytes from 192.0.0.88: icmp_seq=88 ttl=64 time=73.1 ms
64 bytes from 192.0.0.88: icmp_seq=89 ttl=64 time=77.1 ms
64 bytes from 192.0.0.88: icmp_seq=90 ttl=64 time=77.2 ms
64 bytes from 192.0.0.88: icmp_seq=91 ttl=64 time=81.6 ms
64 bytes from 192.0.0.88: icmp_seq=92 ttl=64 time=67.9 ms
64 bytes from 192.0.0.88: icmp_seq=93 ttl=64 time=68.9 ms
64 bytes from 192.0.0.88: icmp_seq=94 ttl=64 time=72.1 ms
64 bytes from 192.0.0.88: icmp_seq=95 ttl=64 time=74.1 ms
64 bytes from 192.0.0.88: icmp_seq=96 ttl=64 time=65.5 ms
64 bytes from 192.0.0.88: icmp_seq=97 ttl=64 time=69.0 ms
64 bytes from 192.0.0.88: icmp_seq=98 ttl=64 time=71.1 ms
64 bytes from 192.0.0.88: icmp_seq=99 ttl=64 time=73.8 ms
64 bytes from 192.0.0.88: icmp_seq=100 ttl=64 time=68.5 ms

--- google.com ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99073ms
rtt min/avg/max/mdev = 30.046/71.845/106.506/8.640 ms
