SSID: Error 404_EXT
Datetime: Thu Jul 16 05:30:16 AM EDT 2026
64 bytes from 192.0.0.88: icmp_seq=29 ttl=64 time=110 ms
64 bytes from 192.0.0.88: icmp_seq=30 ttl=64 time=86.3 ms
64 bytes from 192.0.0.88: icmp_seq=31 ttl=64 time=95.9 ms
64 bytes from 192.0.0.88: icmp_seq=32 ttl=64 time=89.6 ms
64 bytes from 192.0.0.88: icmp_seq=33 ttl=64 time=100 ms
64 bytes from 192.0.0.88: icmp_seq=34 ttl=64 time=96.5 ms
64 bytes from 192.0.0.88: icmp_seq=36 ttl=64 time=87.7 ms
64 bytes from 192.0.0.88: icmp_seq=37 ttl=64 time=96.8 ms
64 bytes from 192.0.0.88: icmp_seq=38 ttl=64 time=99.8 ms
64 bytes from 192.0.0.88: icmp_seq=39 ttl=64 time=95.5 ms
64 bytes from 192.0.0.88: icmp_seq=40 ttl=64 time=92.7 ms
64 bytes from 192.0.0.88: icmp_seq=41 ttl=64 time=95.1 ms
64 bytes from 192.0.0.88: icmp_seq=42 ttl=64 time=95.9 ms
64 bytes from 192.0.0.88: icmp_seq=43 ttl=64 time=100 ms
64 bytes from 192.0.0.88: icmp_seq=44 ttl=64 time=93.8 ms
64 bytes from 192.0.0.88: icmp_seq=45 ttl=64 time=102 ms
64 bytes from 192.0.0.88: icmp_seq=46 ttl=64 time=93.1 ms
64 bytes from 192.0.0.88: icmp_seq=47 ttl=64 time=99.7 ms
64 bytes from 192.0.0.88: icmp_seq=48 ttl=64 time=52.8 ms
64 bytes from 192.0.0.88: icmp_seq=49 ttl=64 time=91.8 ms
64 bytes from 192.0.0.88: icmp_seq=50 ttl=64 time=108 ms
64 bytes from 192.0.0.88: icmp_seq=51 ttl=64 time=95.9 ms
64 bytes from 192.0.0.88: icmp_seq=52 ttl=64 time=94.2 ms
64 bytes from 192.0.0.88: icmp_seq=53 ttl=64 time=101 ms
64 bytes from 192.0.0.88: icmp_seq=54 ttl=64 time=97.0 ms
64 bytes from 192.0.0.88: icmp_seq=55 ttl=64 time=90.1 ms
64 bytes from 192.0.0.88: icmp_seq=56 ttl=64 time=99.8 ms
64 bytes from 192.0.0.88: icmp_seq=57 ttl=64 time=92.2 ms
64 bytes from 192.0.0.88: icmp_seq=58 ttl=64 time=98.6 ms
64 bytes from 192.0.0.88: icmp_seq=59 ttl=64 time=99.3 ms
64 bytes from 192.0.0.88: icmp_seq=60 ttl=64 time=106 ms
64 bytes from 192.0.0.88: icmp_seq=61 ttl=64 time=94.5 ms
64 bytes from 192.0.0.88: icmp_seq=62 ttl=64 time=93.0 ms
64 bytes from 192.0.0.88: icmp_seq=63 ttl=64 time=97.8 ms
64 bytes from 192.0.0.88: icmp_seq=64 ttl=64 time=99.3 ms
64 bytes from 192.0.0.88: icmp_seq=65 ttl=64 time=90.2 ms
64 bytes from 192.0.0.88: icmp_seq=66 ttl=64 time=106 ms
64 bytes from 192.0.0.88: icmp_seq=67 ttl=64 time=84.7 ms
64 bytes from 192.0.0.88: icmp_seq=68 ttl=64 time=104 ms
64 bytes from 192.0.0.88: icmp_seq=69 ttl=64 time=91.8 ms
64 bytes from 192.0.0.88: icmp_seq=70 ttl=64 time=97.3 ms
64 bytes from 192.0.0.88: icmp_seq=71 ttl=64 time=87.5 ms
64 bytes from 192.0.0.88: icmp_seq=72 ttl=64 time=95.7 ms
64 bytes from 192.0.0.88: icmp_seq=73 ttl=64 time=91.6 ms
64 bytes from 192.0.0.88: icmp_seq=74 ttl=64 time=97.6 ms
64 bytes from 192.0.0.88: icmp_seq=75 ttl=64 time=92.7 ms
64 bytes from 192.0.0.88: icmp_seq=76 ttl=64 time=98.8 ms
64 bytes from 192.0.0.88: icmp_seq=77 ttl=64 time=93.9 ms
64 bytes from 192.0.0.88: icmp_seq=78 ttl=64 time=95.0 ms
64 bytes from 192.0.0.88: icmp_seq=79 ttl=64 time=67.5 ms
64 bytes from 192.0.0.88: icmp_seq=80 ttl=64 time=83.3 ms
64 bytes from 192.0.0.88: icmp_seq=81 ttl=64 time=99.3 ms
64 bytes from 192.0.0.88: icmp_seq=82 ttl=64 time=82.1 ms
64 bytes from 192.0.0.88: icmp_seq=83 ttl=64 time=90.2 ms
64 bytes from 192.0.0.88: icmp_seq=84 ttl=64 time=97.8 ms
64 bytes from 192.0.0.88: icmp_seq=85 ttl=64 time=98.7 ms
64 bytes from 192.0.0.88: icmp_seq=86 ttl=64 time=103 ms
64 bytes from 192.0.0.88: icmp_seq=87 ttl=64 time=90.4 ms
64 bytes from 192.0.0.88: icmp_seq=88 ttl=64 time=99.6 ms
64 bytes from 192.0.0.88: icmp_seq=89 ttl=64 time=76.8 ms
64 bytes from 192.0.0.88: icmp_seq=90 ttl=64 time=97.8 ms
64 bytes from 192.0.0.88: icmp_seq=91 ttl=64 time=95.5 ms
64 bytes from 192.0.0.88: icmp_seq=92 ttl=64 time=91.9 ms
64 bytes from 192.0.0.88: icmp_seq=93 ttl=64 time=102 ms
64 bytes from 192.0.0.88: icmp_seq=94 ttl=64 time=97.8 ms
64 bytes from 192.0.0.88: icmp_seq=95 ttl=64 time=97.6 ms
64 bytes from 192.0.0.88: icmp_seq=96 ttl=64 time=98.1 ms
64 bytes from 192.0.0.88: icmp_seq=97 ttl=64 time=101 ms
64 bytes from 192.0.0.88: icmp_seq=98 ttl=64 time=94.3 ms
64 bytes from 192.0.0.88: icmp_seq=99 ttl=64 time=101 ms
64 bytes from 192.0.0.88: icmp_seq=100 ttl=64 time=110 ms

--- google.com ping statistics ---
100 packets transmitted, 99 received, 1% packet loss, time 99059ms
rtt min/avg/max/mdev = 52.843/94.257/110.010/9.011 ms
