SSID: Error 404_EXT
Datetime: Thu May 28 05:38:04 AM EDT 2026
64 bytes from 192.0.0.88: icmp_seq=67 ttl=64 time=88.3 ms
64 bytes from 192.0.0.88: icmp_seq=68 ttl=64 time=87.7 ms
64 bytes from 192.0.0.88: icmp_seq=69 ttl=64 time=71.0 ms
64 bytes from 192.0.0.88: icmp_seq=70 ttl=64 time=80.4 ms
64 bytes from 192.0.0.88: icmp_seq=71 ttl=64 time=71.4 ms
64 bytes from 192.0.0.88: icmp_seq=72 ttl=64 time=91.8 ms
64 bytes from 192.0.0.88: icmp_seq=73 ttl=64 time=102 ms
64 bytes from 192.0.0.88: icmp_seq=74 ttl=64 time=83.8 ms
64 bytes from 192.0.0.88: icmp_seq=75 ttl=64 time=64.4 ms
64 bytes from 192.0.0.88: icmp_seq=76 ttl=64 time=92.6 ms
64 bytes from 192.0.0.88: icmp_seq=77 ttl=64 time=82.3 ms
64 bytes from 192.0.0.88: icmp_seq=78 ttl=64 time=84.7 ms
64 bytes from 192.0.0.88: icmp_seq=79 ttl=64 time=71.8 ms
64 bytes from 192.0.0.88: icmp_seq=80 ttl=64 time=75.9 ms
64 bytes from 192.0.0.88: icmp_seq=81 ttl=64 time=74.2 ms
64 bytes from 192.0.0.88: icmp_seq=82 ttl=64 time=89.8 ms
64 bytes from 192.0.0.88: icmp_seq=83 ttl=64 time=84.9 ms
64 bytes from 192.0.0.88: icmp_seq=84 ttl=64 time=92.4 ms
64 bytes from 192.0.0.88: icmp_seq=85 ttl=64 time=88.0 ms
64 bytes from 192.0.0.88: icmp_seq=86 ttl=64 time=85.1 ms
64 bytes from 192.0.0.88: icmp_seq=87 ttl=64 time=86.6 ms
64 bytes from 192.0.0.88: icmp_seq=88 ttl=64 time=72.3 ms
64 bytes from 192.0.0.88: icmp_seq=89 ttl=64 time=82.5 ms
64 bytes from 192.0.0.88: icmp_seq=90 ttl=64 time=81.1 ms
64 bytes from 192.0.0.88: icmp_seq=91 ttl=64 time=85.4 ms
64 bytes from 192.0.0.88: icmp_seq=92 ttl=64 time=72.9 ms
64 bytes from 192.0.0.88: icmp_seq=93 ttl=64 time=77.7 ms
64 bytes from 192.0.0.88: icmp_seq=94 ttl=64 time=82.0 ms
64 bytes from 192.0.0.88: icmp_seq=95 ttl=64 time=86.9 ms
64 bytes from 192.0.0.88: icmp_seq=96 ttl=64 time=86.3 ms
64 bytes from 192.0.0.88: icmp_seq=97 ttl=64 time=104 ms
64 bytes from 192.0.0.88: icmp_seq=98 ttl=64 time=83.9 ms
64 bytes from 192.0.0.88: icmp_seq=99 ttl=64 time=83.6 ms
64 bytes from 192.0.0.88: icmp_seq=100 ttl=64 time=93.1 ms

--- google.com ping statistics ---
100 packets transmitted, 99 received, 1% packet loss, time 99011ms
rtt min/avg/max/mdev = 58.166/85.742/110.235/10.898 ms
