SSID: Error 404_EXT
Datetime: Mon Nov 17 05:30:16 AM EST 2025
64 bytes from 192.0.0.88: icmp_seq=35 ttl=64 time=200 ms
64 bytes from 192.0.0.88: icmp_seq=36 ttl=64 time=167 ms
64 bytes from 192.0.0.88: icmp_seq=37 ttl=64 time=196 ms
64 bytes from 192.0.0.88: icmp_seq=38 ttl=64 time=262 ms
64 bytes from 192.0.0.88: icmp_seq=39 ttl=64 time=148 ms
64 bytes from 192.0.0.88: icmp_seq=40 ttl=64 time=176 ms
64 bytes from 192.0.0.88: icmp_seq=41 ttl=64 time=219 ms
64 bytes from 192.0.0.88: icmp_seq=42 ttl=64 time=32.3 ms
64 bytes from 192.0.0.88: icmp_seq=43 ttl=64 time=158 ms
64 bytes from 192.0.0.88: icmp_seq=44 ttl=64 time=165 ms
64 bytes from 192.0.0.88: icmp_seq=45 ttl=64 time=151 ms
64 bytes from 192.0.0.88: icmp_seq=46 ttl=64 time=197 ms
64 bytes from 192.0.0.88: icmp_seq=47 ttl=64 time=202 ms
64 bytes from 192.0.0.88: icmp_seq=48 ttl=64 time=218 ms
64 bytes from 192.0.0.88: icmp_seq=49 ttl=64 time=180 ms
64 bytes from 192.0.0.88: icmp_seq=50 ttl=64 time=156 ms
64 bytes from 192.0.0.88: icmp_seq=53 ttl=64 time=146 ms
64 bytes from 192.0.0.88: icmp_seq=54 ttl=64 time=173 ms
64 bytes from 192.0.0.88: icmp_seq=55 ttl=64 time=199 ms
64 bytes from 192.0.0.88: icmp_seq=56 ttl=64 time=204 ms
64 bytes from 192.0.0.88: icmp_seq=57 ttl=64 time=157 ms
64 bytes from 192.0.0.88: icmp_seq=58 ttl=64 time=175 ms
64 bytes from 192.0.0.88: icmp_seq=59 ttl=64 time=183 ms
64 bytes from 192.0.0.88: icmp_seq=60 ttl=64 time=143 ms
64 bytes from 192.0.0.88: icmp_seq=61 ttl=64 time=155 ms
64 bytes from 192.0.0.88: icmp_seq=62 ttl=64 time=184 ms
64 bytes from 192.0.0.88: icmp_seq=63 ttl=64 time=137 ms
64 bytes from 192.0.0.88: icmp_seq=64 ttl=64 time=186 ms
64 bytes from 192.0.0.88: icmp_seq=65 ttl=64 time=81.5 ms
64 bytes from 192.0.0.88: icmp_seq=66 ttl=64 time=164 ms
64 bytes from 192.0.0.88: icmp_seq=67 ttl=64 time=183 ms
64 bytes from 192.0.0.88: icmp_seq=68 ttl=64 time=116 ms
64 bytes from 192.0.0.88: icmp_seq=69 ttl=64 time=201 ms
64 bytes from 192.0.0.88: icmp_seq=70 ttl=64 time=222 ms
64 bytes from 192.0.0.88: icmp_seq=71 ttl=64 time=171 ms
64 bytes from 192.0.0.88: icmp_seq=72 ttl=64 time=231 ms
64 bytes from 192.0.0.88: icmp_seq=73 ttl=64 time=181 ms
64 bytes from 192.0.0.88: icmp_seq=74 ttl=64 time=39.4 ms
64 bytes from 192.0.0.88: icmp_seq=75 ttl=64 time=158 ms
64 bytes from 192.0.0.88: icmp_seq=76 ttl=64 time=176 ms
64 bytes from 192.0.0.88: icmp_seq=77 ttl=64 time=143 ms
64 bytes from 192.0.0.88: icmp_seq=78 ttl=64 time=193 ms
64 bytes from 192.0.0.88: icmp_seq=79 ttl=64 time=166 ms
64 bytes from 192.0.0.88: icmp_seq=81 ttl=64 time=133 ms
64 bytes from 192.0.0.88: icmp_seq=82 ttl=64 time=177 ms
64 bytes from 192.0.0.88: icmp_seq=83 ttl=64 time=208 ms
64 bytes from 192.0.0.88: icmp_seq=84 ttl=64 time=97.8 ms
64 bytes from 192.0.0.88: icmp_seq=85 ttl=64 time=168 ms
64 bytes from 192.0.0.88: icmp_seq=86 ttl=64 time=139 ms
64 bytes from 192.0.0.88: icmp_seq=88 ttl=64 time=225 ms
64 bytes from 192.0.0.88: icmp_seq=89 ttl=64 time=203 ms
64 bytes from 192.0.0.88: icmp_seq=90 ttl=64 time=209 ms
64 bytes from 192.0.0.88: icmp_seq=91 ttl=64 time=207 ms
64 bytes from 192.0.0.88: icmp_seq=92 ttl=64 time=128 ms
64 bytes from 192.0.0.88: icmp_seq=93 ttl=64 time=182 ms
64 bytes from 192.0.0.88: icmp_seq=94 ttl=64 time=186 ms
64 bytes from 192.0.0.88: icmp_seq=95 ttl=64 time=82.9 ms
64 bytes from 192.0.0.88: icmp_seq=97 ttl=64 time=100 ms
64 bytes from 192.0.0.88: icmp_seq=98 ttl=64 time=179 ms
64 bytes from 192.0.0.88: icmp_seq=100 ttl=64 time=196 ms

--- google.com ping statistics ---
100 packets transmitted, 94 received, 6% packet loss, time 99181ms
rtt min/avg/max/mdev = 32.296/169.631/261.732/40.080 ms
