SSID: Error 404_EXT
Datetime: Wed Jan 14 09:04:11 PM EST 2026
64 bytes from 192.0.0.88: icmp_seq=79 ttl=64 time=45.3 ms
64 bytes from 192.0.0.88: icmp_seq=80 ttl=64 time=43.8 ms
64 bytes from 192.0.0.88: icmp_seq=81 ttl=64 time=45.3 ms
64 bytes from 192.0.0.88: icmp_seq=82 ttl=64 time=54.5 ms
64 bytes from 192.0.0.88: icmp_seq=83 ttl=64 time=47.1 ms
64 bytes from 192.0.0.88: icmp_seq=84 ttl=64 time=45.1 ms
64 bytes from 192.0.0.88: icmp_seq=85 ttl=64 time=46.9 ms
64 bytes from 192.0.0.88: icmp_seq=86 ttl=64 time=47.5 ms
64 bytes from 192.0.0.88: icmp_seq=87 ttl=64 time=47.3 ms
64 bytes from 192.0.0.88: icmp_seq=88 ttl=64 time=44.7 ms
64 bytes from 192.0.0.88: icmp_seq=89 ttl=64 time=45.1 ms
64 bytes from 192.0.0.88: icmp_seq=90 ttl=64 time=46.9 ms
64 bytes from 192.0.0.88: icmp_seq=91 ttl=64 time=45.3 ms
64 bytes from 192.0.0.88: icmp_seq=92 ttl=64 time=44.4 ms
64 bytes from 192.0.0.88: icmp_seq=93 ttl=64 time=45.3 ms
64 bytes from 192.0.0.88: icmp_seq=94 ttl=64 time=44.0 ms
64 bytes from 192.0.0.88: icmp_seq=95 ttl=64 time=46.2 ms
64 bytes from 192.0.0.88: icmp_seq=96 ttl=64 time=45.8 ms
64 bytes from 192.0.0.88: icmp_seq=97 ttl=64 time=43.2 ms
64 bytes from 192.0.0.88: icmp_seq=98 ttl=64 time=45.4 ms
64 bytes from 192.0.0.88: icmp_seq=99 ttl=64 time=42.8 ms
64 bytes from 192.0.0.88: icmp_seq=100 ttl=64 time=51.1 ms

--- google.com ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99088ms
rtt min/avg/max/mdev = 40.252/46.680/96.928/6.709 ms
