SSID: Error 404_EXT
Datetime: Mon Jun 23 05:34:09 AM EDT 2025
64 bytes from 192.0.0.88: icmp_seq=41 ttl=64 time=102 ms
64 bytes from 192.0.0.88: icmp_seq=42 ttl=64 time=167 ms
64 bytes from 192.0.0.88: icmp_seq=43 ttl=64 time=84.2 ms
64 bytes from 192.0.0.88: icmp_seq=44 ttl=64 time=47.0 ms
64 bytes from 192.0.0.88: icmp_seq=45 ttl=64 time=166 ms
64 bytes from 192.0.0.88: icmp_seq=46 ttl=64 time=118 ms
64 bytes from 192.0.0.88: icmp_seq=47 ttl=64 time=124 ms
64 bytes from 192.0.0.88: icmp_seq=48 ttl=64 time=35.8 ms
64 bytes from 192.0.0.88: icmp_seq=49 ttl=64 time=102 ms
64 bytes from 192.0.0.88: icmp_seq=50 ttl=64 time=74.2 ms
64 bytes from 192.0.0.88: icmp_seq=52 ttl=64 time=86.8 ms
64 bytes from 192.0.0.88: icmp_seq=53 ttl=64 time=31.1 ms
64 bytes from 192.0.0.88: icmp_seq=54 ttl=64 time=51.0 ms
64 bytes from 192.0.0.88: icmp_seq=55 ttl=64 time=159 ms
64 bytes from 192.0.0.88: icmp_seq=56 ttl=64 time=116 ms
64 bytes from 192.0.0.88: icmp_seq=57 ttl=64 time=84.6 ms
64 bytes from 192.0.0.88: icmp_seq=58 ttl=64 time=74.6 ms
64 bytes from 192.0.0.88: icmp_seq=59 ttl=64 time=89.5 ms
64 bytes from 192.0.0.88: icmp_seq=60 ttl=64 time=181 ms
64 bytes from 192.0.0.88: icmp_seq=61 ttl=64 time=94.5 ms
64 bytes from 192.0.0.88: icmp_seq=62 ttl=64 time=83.9 ms
64 bytes from 192.0.0.88: icmp_seq=63 ttl=64 time=147 ms
64 bytes from 192.0.0.88: icmp_seq=64 ttl=64 time=107 ms
64 bytes from 192.0.0.88: icmp_seq=65 ttl=64 time=87.8 ms
64 bytes from 192.0.0.88: icmp_seq=66 ttl=64 time=62.4 ms
64 bytes from 192.0.0.88: icmp_seq=67 ttl=64 time=108 ms
64 bytes from 192.0.0.88: icmp_seq=68 ttl=64 time=81.2 ms
64 bytes from 192.0.0.88: icmp_seq=69 ttl=64 time=86.1 ms
64 bytes from 192.0.0.88: icmp_seq=70 ttl=64 time=61.9 ms
64 bytes from 192.0.0.88: icmp_seq=71 ttl=64 time=62.0 ms
64 bytes from 192.0.0.88: icmp_seq=72 ttl=64 time=52.6 ms
64 bytes from 192.0.0.88: icmp_seq=73 ttl=64 time=49.7 ms
64 bytes from 192.0.0.88: icmp_seq=74 ttl=64 time=37.9 ms
64 bytes from 192.0.0.88: icmp_seq=75 ttl=64 time=29.2 ms
64 bytes from 192.0.0.88: icmp_seq=76 ttl=64 time=31.2 ms
64 bytes from 192.0.0.88: icmp_seq=77 ttl=64 time=35.3 ms
64 bytes from 192.0.0.88: icmp_seq=78 ttl=64 time=29.5 ms
64 bytes from 192.0.0.88: icmp_seq=79 ttl=64 time=59.7 ms
64 bytes from 192.0.0.88: icmp_seq=80 ttl=64 time=62.4 ms
64 bytes from 192.0.0.88: icmp_seq=83 ttl=64 time=31.0 ms
64 bytes from 192.0.0.88: icmp_seq=84 ttl=64 time=57.9 ms
64 bytes from 192.0.0.88: icmp_seq=85 ttl=64 time=61.4 ms
64 bytes from 192.0.0.88: icmp_seq=86 ttl=64 time=47.4 ms
64 bytes from 192.0.0.88: icmp_seq=87 ttl=64 time=94.7 ms
64 bytes from 192.0.0.88: icmp_seq=88 ttl=64 time=29.6 ms
64 bytes from 192.0.0.88: icmp_seq=89 ttl=64 time=40.9 ms
64 bytes from 192.0.0.88: icmp_seq=90 ttl=64 time=37.0 ms
64 bytes from 192.0.0.88: icmp_seq=91 ttl=64 time=39.5 ms
64 bytes from 192.0.0.88: icmp_seq=92 ttl=64 time=69.9 ms
64 bytes from 192.0.0.88: icmp_seq=93 ttl=64 time=32.7 ms
64 bytes from 192.0.0.88: icmp_seq=94 ttl=64 time=88.7 ms
64 bytes from 192.0.0.88: icmp_seq=95 ttl=64 time=192 ms
64 bytes from 192.0.0.88: icmp_seq=96 ttl=64 time=133 ms
64 bytes from 192.0.0.88: icmp_seq=97 ttl=64 time=42.0 ms
64 bytes from 192.0.0.88: icmp_seq=98 ttl=64 time=76.3 ms
64 bytes from 192.0.0.88: icmp_seq=99 ttl=64 time=49.0 ms
64 bytes from 192.0.0.88: icmp_seq=100 ttl=64 time=76.9 ms

--- google.com ping statistics ---
100 packets transmitted, 96 received, 4% packet loss, time 99130ms
rtt min/avg/max/mdev = 23.540/78.143/217.525/42.611 ms
