SSID: Error 404_EXT
Datetime: Thu Jan 29 05:36:50 AM EST 2026
64 bytes from 192.0.0.88: icmp_seq=44 ttl=64 time=63.7 ms
64 bytes from 192.0.0.88: icmp_seq=45 ttl=64 time=30.5 ms
64 bytes from 192.0.0.88: icmp_seq=46 ttl=64 time=42.2 ms
64 bytes from 192.0.0.88: icmp_seq=47 ttl=64 time=48.2 ms
64 bytes from 192.0.0.88: icmp_seq=48 ttl=64 time=36.4 ms
64 bytes from 192.0.0.88: icmp_seq=49 ttl=64 time=49.7 ms
64 bytes from 192.0.0.88: icmp_seq=50 ttl=64 time=55.8 ms
64 bytes from 192.0.0.88: icmp_seq=51 ttl=64 time=26.4 ms
64 bytes from 192.0.0.88: icmp_seq=52 ttl=64 time=101 ms
64 bytes from 192.0.0.88: icmp_seq=53 ttl=64 time=52.0 ms
64 bytes from 192.0.0.88: icmp_seq=54 ttl=64 time=38.1 ms
64 bytes from 192.0.0.88: icmp_seq=55 ttl=64 time=47.6 ms
64 bytes from 192.0.0.88: icmp_seq=56 ttl=64 time=51.4 ms
64 bytes from 192.0.0.88: icmp_seq=57 ttl=64 time=68.9 ms
64 bytes from 192.0.0.88: icmp_seq=58 ttl=64 time=31.7 ms
64 bytes from 192.0.0.88: icmp_seq=59 ttl=64 time=51.6 ms
64 bytes from 192.0.0.88: icmp_seq=60 ttl=64 time=59.8 ms
64 bytes from 192.0.0.88: icmp_seq=61 ttl=64 time=54.1 ms
64 bytes from 192.0.0.88: icmp_seq=62 ttl=64 time=34.5 ms
64 bytes from 192.0.0.88: icmp_seq=63 ttl=64 time=101 ms
64 bytes from 192.0.0.88: icmp_seq=64 ttl=64 time=40.1 ms
64 bytes from 192.0.0.88: icmp_seq=65 ttl=64 time=32.2 ms
64 bytes from 192.0.0.88: icmp_seq=66 ttl=64 time=43.3 ms
64 bytes from 192.0.0.88: icmp_seq=67 ttl=64 time=83.8 ms
64 bytes from 192.0.0.88: icmp_seq=68 ttl=64 time=36.3 ms
64 bytes from 192.0.0.88: icmp_seq=69 ttl=64 time=37.7 ms
64 bytes from 192.0.0.88: icmp_seq=70 ttl=64 time=45.0 ms
64 bytes from 192.0.0.88: icmp_seq=71 ttl=64 time=55.0 ms
64 bytes from 192.0.0.88: icmp_seq=72 ttl=64 time=35.1 ms
64 bytes from 192.0.0.88: icmp_seq=74 ttl=64 time=36.5 ms
64 bytes from 192.0.0.88: icmp_seq=75 ttl=64 time=71.4 ms
64 bytes from 192.0.0.88: icmp_seq=76 ttl=64 time=42.0 ms
64 bytes from 192.0.0.88: icmp_seq=77 ttl=64 time=44.4 ms
64 bytes from 192.0.0.88: icmp_seq=78 ttl=64 time=41.5 ms
64 bytes from 192.0.0.88: icmp_seq=79 ttl=64 time=37.8 ms
64 bytes from 192.0.0.88: icmp_seq=80 ttl=64 time=39.7 ms
64 bytes from 192.0.0.88: icmp_seq=81 ttl=64 time=70.6 ms
64 bytes from 192.0.0.88: icmp_seq=82 ttl=64 time=43.1 ms
64 bytes from 192.0.0.88: icmp_seq=83 ttl=64 time=42.4 ms
64 bytes from 192.0.0.88: icmp_seq=84 ttl=64 time=34.7 ms
64 bytes from 192.0.0.88: icmp_seq=85 ttl=64 time=50.7 ms
64 bytes from 192.0.0.88: icmp_seq=86 ttl=64 time=48.3 ms
64 bytes from 192.0.0.88: icmp_seq=87 ttl=64 time=60.9 ms
64 bytes from 192.0.0.88: icmp_seq=88 ttl=64 time=81.7 ms
64 bytes from 192.0.0.88: icmp_seq=89 ttl=64 time=33.1 ms
64 bytes from 192.0.0.88: icmp_seq=90 ttl=64 time=35.3 ms
64 bytes from 192.0.0.88: icmp_seq=91 ttl=64 time=42.5 ms
64 bytes from 192.0.0.88: icmp_seq=92 ttl=64 time=39.7 ms
64 bytes from 192.0.0.88: icmp_seq=93 ttl=64 time=32.7 ms
64 bytes from 192.0.0.88: icmp_seq=94 ttl=64 time=35.3 ms
64 bytes from 192.0.0.88: icmp_seq=95 ttl=64 time=78.1 ms
64 bytes from 192.0.0.88: icmp_seq=96 ttl=64 time=59.0 ms
64 bytes from 192.0.0.88: icmp_seq=97 ttl=64 time=38.0 ms
64 bytes from 192.0.0.88: icmp_seq=98 ttl=64 time=33.7 ms
64 bytes from 192.0.0.88: icmp_seq=99 ttl=64 time=45.2 ms
64 bytes from 192.0.0.88: icmp_seq=100 ttl=64 time=35.0 ms

--- google.com ping statistics ---
100 packets transmitted, 94 received, 6% packet loss, time 99111ms
rtt min/avg/max/mdev = 26.366/59.493/146.863/27.191 ms
