SSID: Error 404_EXT
Datetime: Thu Nov 20 05:32:13 AM EST 2025
64 bytes from 192.0.0.88: icmp_seq=87 ttl=64 time=67.5 ms
64 bytes from 192.0.0.88: icmp_seq=89 ttl=64 time=149 ms
64 bytes from 192.0.0.88: icmp_seq=90 ttl=64 time=218 ms
64 bytes from 192.0.0.88: icmp_seq=91 ttl=64 time=186 ms
64 bytes from 192.0.0.88: icmp_seq=92 ttl=64 time=175 ms
64 bytes from 192.0.0.88: icmp_seq=93 ttl=64 time=115 ms
64 bytes from 192.0.0.88: icmp_seq=94 ttl=64 time=192 ms
64 bytes from 192.0.0.88: icmp_seq=95 ttl=64 time=202 ms
64 bytes from 192.0.0.88: icmp_seq=96 ttl=64 time=166 ms
64 bytes from 192.0.0.88: icmp_seq=97 ttl=64 time=40.5 ms
64 bytes from 192.0.0.88: icmp_seq=98 ttl=64 time=164 ms
64 bytes from 192.0.0.88: icmp_seq=99 ttl=64 time=192 ms
64 bytes from 192.0.0.88: icmp_seq=100 ttl=64 time=111 ms

--- google.com ping statistics ---
100 packets transmitted, 93 received, 7% packet loss, time 99149ms
rtt min/avg/max/mdev = 29.696/160.567/299.179/48.600 ms
